signal_date,ticker,pattern,close,sma50,sma200,prev_high_close,volume,vol_avg20,entry_price,entry_band_low,entry_band_high,stop_pct,stop_price,pattern_family,score_trend,score_setup,score_volume,score_rsi,score_risk,signal_score,consensus_count
2026-02-04,IOC.NS,A_breakout_40d,172.78,162.6362,151.6411,168.55,28164545,11760040.95,172.78,172.78,176.2356,7.0,160.6854,A,86.3,70.1,87.9,70.4,58.0,75.6,1.0
2026-02-05,IOC.NS,A_breakout_40d,175.77,162.8692,151.8265,172.78,34830200,12972428.25,175.77,175.77,179.2854,7.0,163.4661,A,86.4,63.8,93.7,73.6,58.0,75.1,1.0
2026-02-09,SBIN.NS,A_breakout_40d,1146.0,1006.018,882.7947,1077.15,40852966,11397337.85,1146.0,1146.0,1168.92,7.0,1065.78,A,100.0,100.0,100.0,73.5,58.0,90.3,1.0
2026-02-10,INDUSTOWER.NS,A_breakout_40d,459.15,423.703,389.0647,456.15,12345910,7181819.1,459.15,459.15,468.333,7.0,427.0095,A,94.5,55.3,74.4,66.7,58.0,71.0,1.0
2026-02-10,TATASTEEL.NS,A_breakout_40d,208.01,180.5384,167.5833,202.32,82443790,34884393.05,208.01,208.01,212.1702,7.0,193.4493,A,88.7,72.5,87.3,69.8,58.0,76.8,1.0
2026-02-11,EICHERMOT.NS,A_breakout_40d,7771.0,7250.59,6407.0975,7582.5,2286430,502592.35,7771.0,7771.0,7926.42,7.0,7227.03,A,100.0,69.9,100.0,69.4,58.0,81.6,1.0
2026-02-11,IOC.NS,A_breakout_40d,181.31,164.0044,152.636,178.21,25578553,15745805.0,181.31,181.31,184.9362,7.0,168.6183,A,87.2,63.9,72.5,78.0,58.0,71.6,1.0
2026-02-11,SBIN.NS,A_breakout_40d,1182.9,1013.516,886.3695,1146.0,29491859,12804191.75,1182.9,1182.9,1206.558,7.0,1100.097,A,100.0,75.8,86.1,77.1,58.0,81.0,1.0
2026-02-12,EICHERMOT.NS,A_breakout_40d,7943.0,7267.2,6418.7025,7771.0,1107781,536677.3,7943.0,7943.0,8101.86,7.0,7386.99,A,100.0,67.7,81.3,72.9,58.0,77.6,1.0
2026-02-12,SBIN.NS,A_breakout_40d,1192.4,1018.018,888.2447,1182.9,33214985,14096415.3,1192.4,1192.4,1216.248,7.0,1108.932,A,100.0,56.4,87.1,78.0,58.0,75.9,1.0
2026-02-13,BAJFINANCE.NS,A_breakout_40d,1024.75,977.708,961.2973,1011.7,21613987,9652379.75,1024.75,1024.75,1045.245,7.0,953.0175,A,58.5,60.3,84.8,65.6,58.0,64.3,1.0
2026-02-13,EICHERMOT.NS,A_breakout_40d,8065.0,7286.87,6431.1325,7943.0,967939,585074.25,8065.0,8065.0,8226.3,7.0,7500.45,A,100.0,62.3,73.1,75.1,58.0,74.7,1.0
2026-02-20,NTPC.NS,A_breakout_40d,372.95,344.947,337.658,369.1,16736731,10930796.3,372.95,372.95,380.409,7.0,346.8435,A,60.8,58.3,70.6,64.2,58.0,61.6,1.0
