buy_signal_date,sell_signal_date,ticker,pattern,entry_price,target_return_pct,target_price,sell_price,realized_return_pct
2024-06-27,2024-09-26,JSWSTEEL.NS,A_breakout_40d,943.15,6.0,999.739,1005.55,6.62
2024-09-20,2024-09-26,M&M.NS,A_breakout_40d,2962.75,6.0,3140.515,3181.1001,7.37
2024-09-12,2024-09-26,SHRIRAMFIN.NS,A_breakout_40d,679.94,6.0,720.7364,725.69,6.73
2024-08-28,2024-09-26,TRENT.NS,A_breakout_40d,7269.9502,6.0,7706.1472,7845.3999,7.92
2024-05-21,2024-09-27,HINDALCO.NS,A_breakout_40d,698.55,6.0,740.463,747.15,6.96
2024-05-29,2024-09-27,HINDALCO.NS,A_breakout_40d,704.85,6.0,747.141,747.15,6.0
2024-08-23,2024-09-27,TVSMOTOR.NS,A_breakout_40d,2781.7,6.0,2948.602,2949.7,6.04
2024-09-24,2024-09-27,VEDL.NS,A_breakout_40d,478.0,6.0,506.68,513.0,7.32
2024-08-26,2024-09-30,HINDALCO.NS,A_breakout_40d,711.9,6.0,754.614,756.2,6.22
2024-09-11,2024-10-01,BRITANNIA.NS,A_breakout_40d,6018.6499,6.0,6379.7689,6446.0498,7.1
2024-09-25,2024-10-01,VEDL.NS,A_breakout_40d,484.55,6.0,513.623,516.15,6.52
2024-09-10,2024-10-09,DIVISLAB.NS,A_breakout_40d,5405.0,6.0,5729.3,5989.75,10.82
2024-09-27,2024-10-11,SIEMENS.NS,A_breakout_40d,4281.8677,6.0,4538.7798,4549.1875,6.24
2024-08-29,2024-10-15,HCLTECH.NS,A_breakout_40d,1751.85,6.0,1856.961,1870.1,6.75
2024-08-30,2024-10-15,HCLTECH.NS,A_breakout_40d,1764.2,6.0,1870.052,1870.1,6.0
2024-04-08,2024-10-16,GOLDBEES.NS,A_breakout_40d,60.63,6.0,64.2678,64.44,6.28
2024-10-01,2024-10-16,SIEMENS.NS,A_breakout_40d,4374.144,6.0,4636.5926,4687.9541,7.17
2024-09-25,2024-10-21,SILVERBEES.NS,A_breakout_40d,88.8,6.0,94.128,94.64,6.58
2024-02-16,2024-11-25,WIPRO.NS,A_breakout_40d,272.95,6.0,289.327,291.225,6.7
2024-06-25,2024-11-27,HDFCBANK.NS,A_breakout_40d,853.975,6.0,905.2135,906.15,6.11
2024-09-02,2024-12-05,HCLTECH.NS,A_breakout_40d,1806.0,6.0,1914.36,1924.0,6.53
2024-07-03,2024-12-05,HDFCBANK.NS,A_breakout_40d,879.875,6.0,932.6675,932.875,6.02
2024-07-12,2024-12-09,WIPRO.NS,A_breakout_40d,283.45,6.0,300.457,303.75,7.16
2024-09-20,2024-12-11,MAXHEALTH.NS,A_breakout_40d,1062.1,6.0,1125.826,1132.2,6.6
2024-12-05,2024-12-12,MAXHEALTH.NS,A_breakout_40d,1098.55,6.0,1164.463,1167.7,6.29
2024-12-11,2024-12-17,MAXHEALTH.NS,A_breakout_40d,1132.0,6.0,1199.92,1208.75,6.78
2024-11-25,2024-12-18,WIPRO.NS,A_breakout_40d,292.5,6.0,310.05,312.6,6.87
2024-09-26,2025-01-02,EICHERMOT.NS,A_breakout_40d,4990.0,6.0,5289.4,5308.1001,6.37
2024-10-15,2025-01-10,HCLTECH.NS,A_breakout_40d,1869.0,6.0,1981.14,1995.1,6.75
2024-09-25,2025-01-24,GOLDBEES.NS,A_breakout_40d,63.87,6.0,67.7022,67.77,6.11
2024-09-27,2025-02-01,EICHERMOT.NS,A_breakout_40d,5062.0,6.0,5365.72,5390.1499,6.48
2024-01-04,2025-02-03,BAJFINANCE.NS,A_breakout_40d,773.495,6.0,819.9047,842.58,8.93
2025-01-28,2025-02-03,BAJFINANCE.NS,A_breakout_40d,765.725,6.0,811.6685,842.58,10.04
2025-01-30,2025-02-03,BAJFINANCE.NS,A_breakout_40d,792.5,6.0,840.05,842.58,6.32
2025-01-10,2025-02-04,GOLDBEES.NS,A_breakout_40d,65.71,6.0,69.6526,70.08,6.65
2024-10-29,2025-02-05,GOLDBEES.NS,A_breakout_40d,67.0,6.0,71.02,71.57,6.82
2025-01-13,2025-02-05,GOLDBEES.NS,A_breakout_40d,66.28,6.0,70.2568,71.57,7.98
2024-09-12,2025-02-10,KOTAKBANK.NS,A_breakout_40d,367.4,6.0,389.444,392.03,6.7
2024-12-24,2025-03-19,INDIGO.NS,A_breakout_40d,4652.9502,6.0,4932.1272,4980.5498,7.04
2024-08-23,2025-03-20,INDIGO.NS,A_breakout_40d,4718.0,6.0,5001.08,5086.75,7.82
2024-08-28,2025-03-20,INDIGO.NS,A_breakout_40d,4731.1001,6.0,5014.9661,5086.75,7.52
2024-12-26,2025-03-20,INDIGO.NS,A_breakout_40d,4725.0,6.0,5008.5,5086.75,7.66
2024-09-20,2025-03-20,JSWSTEEL.NS,A_breakout_40d,986.0,6.0,1045.16,1050.25,6.52
2024-09-20,2025-03-20,KOTAKBANK.NS,A_breakout_40d,382.99,6.0,405.9694,407.13,6.3
2024-09-24,2025-03-21,JSWSTEEL.NS,A_breakout_40d,996.0,6.0,1055.76,1058.7,6.3
2025-02-03,2025-03-24,BAJFINANCE.NS,A_breakout_40d,842.5,6.0,893.05,909.005,7.89
2025-02-13,2025-03-24,KOTAKBANK.NS,A_breakout_40d,394.8,6.0,418.488,435.23,10.24
2025-02-13,2025-03-27,BAJAJFINSV.NS,A_breakout_40d,1853.5,6.0,1964.71,2005.75,8.21
2025-02-14,2025-03-28,SHREECEM.NS,A_breakout_40d,28490.0,6.0,30199.4,30502.9492,7.07
2024-05-21,2025-03-28,SILVERBEES.NS,A_breakout_40d,91.05,6.0,96.513,97.6,7.19
2025-02-05,2025-04-01,GOLDBEES.NS,A_breakout_40d,71.72,6.0,76.0232,76.72,6.97
2025-03-21,2025-04-03,SHREECEM.NS,A_breakout_40d,29050.0,6.0,30793.0,30902.0,6.38
2025-02-10,2025-04-11,GOLDBEES.NS,A_breakout_40d,73.45,6.0,77.857,77.9,6.06
2024-09-20,2025-04-16,BHARTIARTL.NS,A_breakout_40d,1719.0,6.0,1822.14,1822.6,6.03
2025-02-11,2025-04-16,BHARTIARTL.NS,A_breakout_40d,1704.0,6.0,1806.24,1822.6,6.96
2025-02-27,2025-04-17,BAJAJFINSV.NS,A_breakout_40d,1911.05,6.0,2025.713,2035.3,6.5
2025-03-21,2025-04-17,BHARTIARTL.NS,A_breakout_40d,1740.0,6.0,1844.4,1889.1,8.57
2025-01-02,2025-04-17,EICHERMOT.NS,A_breakout_40d,5325.0,6.0,5644.5,5678.5,6.64
2025-01-03,2025-04-17,EICHERMOT.NS,A_breakout_40d,5310.75,6.0,5629.395,5678.5,6.92
2025-03-25,2025-04-21,BAJAJFINSV.NS,A_breakout_40d,1951.0,6.0,2068.06,2103.5,7.82
2024-11-25,2025-04-21,HDFCBANK.NS,A_breakout_40d,905.0,6.0,959.3,963.55,6.47
2025-03-21,2025-04-21,KOTAKBANK.NS,A_breakout_40d,420.0,6.0,445.2,448.28,6.73
2025-04-01,2025-04-22,GOLDBEES.NS,A_breakout_40d,77.48,6.0,82.1288,82.9,7.0
2025-03-25,2025-04-22,HDFCBANK.NS,A_breakout_40d,912.5,6.0,967.25,980.85,7.49
2025-03-27,2025-04-22,HDFCBANK.NS,A_breakout_40d,914.5,6.0,969.37,980.85,7.26
2024-09-20,2025-04-22,ICICIBANK.NS,A_breakout_40d,1331.0,6.0,1410.86,1416.5,6.42
2024-12-05,2025-04-23,ICICIBANK.NS,A_breakout_40d,1342.5,6.0,1423.05,1424.4,6.1
2024-11-06,2025-05-12,BEL.NS,A_breakout_40d,301.0,6.0,319.06,322.8,7.24
2024-11-27,2025-05-13,BEL.NS,A_breakout_40d,308.0,6.0,326.48,335.75,9.01
2024-12-04,2025-05-13,BEL.NS,A_breakout_40d,314.0,6.0,332.84,335.75,6.93
2025-05-12,2025-05-14,BEL.NS,A_breakout_40d,323.7,6.0,343.122,344.35,6.38
2024-02-01,2025-05-15,SHREECEM.NS,A_breakout_40d,29500.0,6.0,31270.0,31400.0,6.44
2025-03-25,2025-05-15,SHREECEM.NS,A_breakout_40d,29555.0996,6.0,31328.4056,31400.0,6.24
2024-07-08,2025-05-16,BEL.NS,A_breakout_40d,338.0,6.0,358.28,363.9,7.66
2025-05-13,2025-05-16,BEL.NS,A_breakout_40d,339.0,6.0,359.34,363.9,7.35
2024-10-09,2025-05-19,DIVISLAB.NS,A_breakout_40d,5960.0,6.0,6317.6,6580.0,10.4
2025-05-14,2025-05-21,BEL.NS,A_breakout_40d,346.5,6.0,367.29,383.0,10.53
2025-04-24,2025-05-26,DIVISLAB.NS,A_breakout_40d,6240.0,6.0,6614.4,6737.0,7.96
2024-12-03,2025-06-02,BANKBEES.NS,A_breakout_40d,540.11,6.0,572.5166,573.52,6.19
2024-10-21,2025-06-05,SILVERBEES.NS,A_breakout_40d,94.84,6.0,100.5304,100.72,6.2
2025-02-05,2025-06-05,SILVERBEES.NS,A_breakout_40d,92.64,6.0,98.1984,100.72,8.72
2025-02-14,2025-06-05,SILVERBEES.NS,A_breakout_40d,93.99,6.0,99.6294,100.72,7.16
2024-09-18,2025-06-06,BANKBEES.NS,A_breakout_40d,541.8,6.0,574.308,581.94,7.41
2025-05-16,2025-06-10,BEL.NS,A_breakout_40d,372.9,6.0,395.274,397.4,6.57
2024-12-12,2025-06-16,MAXHEALTH.NS,A_breakout_40d,1172.1,6.0,1242.426,1246.8,6.37
2025-06-03,2025-06-17,SILVERBEES.NS,A_breakout_40d,98.0,6.0,103.88,104.19,6.32
2025-05-21,2025-06-20,BEL.NS,A_breakout_40d,383.0,6.0,405.98,408.25,6.59
2024-12-05,2025-06-26,BANKBEES.NS,A_breakout_40d,551.98,6.0,585.0988,586.5,6.25
2025-04-15,2025-06-26,HDFCBANK.NS,A_breakout_40d,941.9,6.0,998.414,1010.9,7.33
2024-09-20,2025-06-27,BANKBEES.NS,A_breakout_40d,553.99,6.0,587.2294,590.61,6.61
2025-05-15,2025-06-27,MAXHEALTH.NS,A_breakout_40d,1195.7,6.0,1267.442,1279.3,6.99
2025-06-12,2025-06-27,MAXHEALTH.NS,A_breakout_40d,1196.4,6.0,1268.184,1279.3,6.93
2024-06-27,2025-07-02,ULTRACEMCO.NS,A_breakout_40d,11699.9004,6.0,12401.8944,12436.0,6.29
2024-09-12,2025-07-03,APOLLOHOSP.NS,A_breakout_40d,7096.2002,6.0,7521.9722,7565.0,6.61
2024-09-27,2025-07-07,APOLLOHOSP.NS,A_breakout_40d,7160.5,6.0,7590.13,7616.0,6.36
2025-06-11,2025-07-07,BPCL.NS,A_breakout_40d,330.5,6.0,350.33,350.5,6.05
2025-06-20,2025-07-07,RELIANCE.NS,A_breakout_40d,1453.0,6.0,1540.18,1541.5,6.09
2025-05-19,2025-07-09,DIVISLAB.NS,A_breakout_40d,6580.0,6.0,6974.8,6983.5,6.13
2025-06-05,2025-07-14,SILVERBEES.NS,A_breakout_40d,102.77,6.0,108.9362,110.02,7.05
2025-06-06,2025-07-14,SILVERBEES.NS,A_breakout_40d,102.41,6.0,108.5546,110.02,7.43
2025-06-09,2025-07-14,SILVERBEES.NS,A_breakout_40d,103.11,6.0,109.2966,110.02,6.7
2025-06-27,2025-07-21,AMBUJACEM.NS,A_breakout_40d,575.05,6.0,609.553,613.25,6.64
2025-03-21,2025-07-23,BAJFINANCE.NS,A_breakout_40d,909.595,6.0,964.1707,968.3,6.45
