signal_date,ticker,pattern,close,sma50,sma200,prev_high_close,volume,vol_avg20,entry_price,entry_band_low,entry_band_high,stop_pct,stop_price,pattern_family,score_trend,score_setup,score_volume,score_rsi,score_risk,score_pattern,sma50_slope_pct,ma_slope_bonus,feature_recent_signal_count,feature_close_vs_prev_high_pct,feature_close_vs_sma50_pct,feature_gap_pct,feature_range_vs_atr,feature_gap_sequence_risk,feature_exhaustion_risk,pattern_bonus,score_penalty_crowding,score_penalty_extension,score_penalty_gap_shock,score_penalty_total,score_penalty_stop_risk,signal_score_pre_stop_risk_penalty,signal_score,signal_stop_risk,signal_stop_risk_5d,signal_gap_through_stop_risk,signal_mae_exceeds_stop_risk,signal_reliability_score,score_penalty_stop_risk_method,score_penalty_stop_risk_gated,consensus_count,signal_score_pre_lt_health,lt_health_points,lt_health_bonus,markov_state,markov_p_continuation,markov_p_adverse,score_markov_adjustment,signal_score_pre_markov,st_score,st_score_pre_model,markov_state_encoded
2024-01-12,TECHM.NS,A_breakout_40d,1308.05,1221.956,1165.8157,1306.1,5023455,2268818.5,1335.0,1321.65,1348.35,7.0,1241.55,A,74.1,51.2,84.3,63.8,58.0,59.9,1.03,3.0,0,0.1493,7.0456,1.7929,1.5529,2.3457,8.0107,18.0,-0.0,-0.0,-0.0,-0.0,0.0,67.0,67.0,0.1289,0.0815,0.0745,0.1353,87,continuous_power,False,1,67.0,2,0.0,,0.0,0.0,0.0,67.0,47.3,31.2,0|0|0|0|0
2024-01-15,HCLTECH.NS,A_breakout_40d,1588.2,1382.534,1214.4717,1540.8,9712071,2909905.75,1587.0,1571.13,1602.87,7.0,1475.91,A,100.0,74.6,100.0,74.5,58.0,59.9,1.87,3.0,1,3.0763,14.876,4.4912,1.2771,6.3087,17.5874,18.0,-0.0,-0.0,-0.0,-0.0,0.0,79.3,79.3,0.1314,0.0912,0.0815,0.1411,87,continuous_power,False,1,79.3,2,0.0,,0.0,0.0,0.0,79.3,24.4,31.1,0|0|0|0|0
2024-01-15,INFY.NS,A_breakout_40d,1652.1,1483.348,1395.4738,1612.75,13228305,7323550.25,1644.8,1628.352,1661.248,7.0,1529.664,A,81.5,69.5,76.1,68.2,58.0,59.9,1.32,3.0,1,2.4399,11.3764,1.9966,0.7792,5.6809,15.9937,18.0,-0.0,-0.0,-0.0,-0.0,0.0,71.3,71.3,0.1289,0.0815,0.0745,0.1353,87,continuous_power,False,1,71.3,2,0.0,,0.0,0.0,0.0,71.3,41.8,31.2,0|0|0|0|0
2024-01-15,ONGC.NS,A_breakout_40d,233.5,201.238,177.5957,223.4,57884916,21688376.2,234.95,232.6005,237.2995,7.0,218.5035,A,100.0,86.2,93.4,77.3,58.0,59.9,1.72,3.0,1,4.521,16.0318,2.2829,1.7809,4.5721,22.3284,18.0,-0.0,-0.0,-0.0,-0.0,0.0,80.8,80.8,0.1329,0.1154,0.0745,0.1575,87,continuous_power,False,1,80.8,2,0.0,,0.0,0.0,0.0,80.8,27.9,31.1,0|0|0|0|0
2024-01-15,TECHM.NS,A_breakout_40d,1337.65,1226.207,1167.006,1308.05,6012767,2274437.8,1330.1,1316.799,1343.401,7.0,1236.993,A,75.4,68.1,92.9,68.3,58.0,59.9,1.24,3.0,1,2.2629,9.0884,2.0603,2.0207,4.723,13.946,18.0,-0.0,-0.0,-0.0,-0.0,0.0,71.9,71.9,0.1289,0.0815,0.0815,0.1353,87,continuous_power,False,1,71.9,2,0.0,,0.0,0.0,0.0,71.9,43.8,31.2,0|0|0|0|0
2024-01-15,WIPRO.NS,A_breakout_40d,247.3,212.5005,202.2228,238.575,127844264,26217465.5,247.5,245.025,249.975,7.0,230.175,A,75.4,79.3,100.0,72.1,58.0,59.9,1.95,3.0,0,3.6571,16.3762,9.9903,2.5651,12.6738,19.8282,18.0,-0.0,-0.0,-0.0,-0.0,0.0,75.2,75.2,0.1289,0.0815,0.0815,0.1353,87,continuous_power,False,1,75.2,2,0.0,,0.0,0.0,0.0,75.2,24.4,31.1,0|0|0|0|0
2024-01-16,IOC.NS,A_breakout_40d,143.6,117.835,96.536,137.65,54350562,25200593.7,143.0,141.57,144.43,7.0,132.99,A,100.0,84.6,83.1,77.7,58.0,59.9,4.03,3.0,0,4.3226,21.8653,0.4359,1.7295,1.7604,22.5498,18.0,-0.0,-0.0,-0.0,-0.0,0.0,79.2,79.2,0.1477,0.1154,0.0745,0.1669,85,continuous_power,False,1,79.2,2,0.0,,0.0,0.0,0.0,79.2,32.4,31.1,0|0|0|0|0
2024-01-16,TITAN.NS,A_breakout_40d,3820.3,3537.406,3104.0897,3758.8501,1170685,705458.25,3818.95,3780.7605,3857.1395,7.0,3551.6235,A,100.0,63.1,73.2,75.0,58.0,59.9,1.68,3.0,0,1.6348,7.9972,0.0,1.7156,0.9786,8.5493,18.0,-0.0,-0.0,-0.0,-0.0,0.0,73.5,73.5,0.1477,0.0912,0.0745,0.1575,85,continuous_power,False,1,73.5,2,0.0,,0.0,0.0,0.0,73.5,16.1,13.8,0|0|0|0|0
2024-01-17,IOC.NS,A_breakout_40d,144.1,118.799,96.8645,143.6,43031636,26248439.35,143.8,142.362,145.238,7.0,133.734,A,100.0,52.8,72.8,78.1,58.0,59.9,4.07,3.0,1,0.3482,21.2973,-0.4178,1.0395,0.8553,17.9556,18.0,-0.0,-0.0,-0.0,-0.0,0.0,71.5,71.5,0.1477,0.0815,0.0745,0.1575,85,continuous_power,False,1,71.5,2,0.0,,0.0,0.0,0.0,71.5,32.4,31.1,0|0|0|0|0
2024-01-18,APOLLOHOSP.NS,A_breakout_40d,5990.8501,5566.012,5043.76,5925.8999,591170,294667.85,5987.0,5927.13,6046.87,7.0,5567.91,A,100.0,58.8,80.1,69.5,58.0,59.9,1.71,3.0,0,1.096,7.6327,0.5586,1.5163,1.2575,7.0008,18.0,-0.0,-0.0,-0.0,-0.0,0.0,73.4,73.4,0.1314,0.0912,0.0745,0.1411,87,continuous_power,False,1,73.4,2,0.0,,0.0,0.0,0.0,73.4,40.9,31.1,0|0|0|0|0
