buy_signal_date,ticker,pattern,entry_price,stop_price,status,entered_date,closed_date,last_updated
2024-09-20,JSWSTEEL.NS,A_breakout_40d,986.0,916.98,Closed,,2026-03-29,2026-03-29
2024-09-20,KOTAKBANK.NS,A_breakout_40d,382.99,356.1807,Closed,,2026-03-29,2026-03-29
2024-09-20,M&M.NS,A_breakout_40d,2962.75,2755.3575,Closed,,2026-03-29,2026-03-29
2024-09-20,MAXHEALTH.NS,A_breakout_40d,1062.1,987.753,Closed,,2026-03-29,2026-03-29
2024-09-20,NESTLEIND.NS,A_breakout_40d,1352.575,1257.8947,New,,,2026-03-29
2024-09-23,ADANIGREEN.NS,A_breakout_40d,2037.6,1894.968,New,,,2026-03-29
2024-09-23,DLF.NS,A_breakout_40d,910.95,847.1835,New,,,2026-03-29
2024-09-23,TVSMOTOR.NS,A_breakout_40d,2832.5,2634.225,Closed,,2026-03-29,2026-03-29
2024-09-24,DLF.NS,A_breakout_40d,915.0,850.95,New,,,2026-03-29
2024-09-24,HINDALCO.NS,A_breakout_40d,725.0,674.25,Closed,,2026-03-29,2026-03-29
2024-09-24,JSWSTEEL.NS,A_breakout_40d,996.0,926.28,Closed,,2026-03-29,2026-03-29
2024-09-24,TATAPOWER.NS,A_breakout_40d,468.75,435.9375,New,,,2026-03-29
2024-09-24,VEDL.NS,A_breakout_40d,478.0,444.54,Closed,,2026-03-29,2026-03-29
2024-09-25,GOLDBEES.NS,A_breakout_40d,63.87,59.3991,Closed,,2026-03-29,2026-03-29
2024-09-25,HINDALCO.NS,A_breakout_40d,718.45,668.1585,Closed,,2026-03-29,2026-03-29
2024-09-25,POWERGRID.NS,A_breakout_40d,364.05,338.5665,New,,,2026-03-29
2024-09-25,SILVERBEES.NS,A_breakout_40d,88.8,82.584,Closed,,2026-03-29,2026-03-29
2024-09-25,VEDL.NS,A_breakout_40d,484.55,450.6315,Closed,,2026-03-29,2026-03-29
2024-09-26,EICHERMOT.NS,A_breakout_40d,4990.0,4640.7,Closed,,2026-03-29,2026-03-29
2024-09-26,HINDALCO.NS,A_breakout_40d,746.95,694.6635,Closed,,2026-03-29,2026-03-29
2024-09-26,MARUTI.NS,A_breakout_40d,13383.0,12446.19,Closed,,2026-03-29,2026-03-29
2024-09-26,TATASTEEL.NS,A_breakout_40d,167.0,155.31,Closed,,2026-03-29,2026-03-29
2024-09-26,TRENT.NS,A_breakout_40d,7899.9502,7346.9537,New,,,2026-03-29
2024-09-26,VEDL.NS,A_breakout_40d,506.0,470.58,Closed,,2026-03-29,2026-03-29
2024-09-27,APOLLOHOSP.NS,A_breakout_40d,7160.5,6659.265,Closed,,2026-03-29,2026-03-29
2024-09-27,BPCL.NS,A_breakout_40d,367.15,341.4495,New,,,2026-03-29
2024-09-27,CIPLA.NS,A_breakout_40d,1675.0,1557.75,New,,,2026-03-29
2024-09-27,EICHERMOT.NS,A_breakout_40d,5062.0,4707.66,Closed,,2026-03-29,2026-03-29
2024-09-27,HINDALCO.NS,A_breakout_40d,750.0,697.5,Closed,,2026-03-29,2026-03-29
2024-09-27,JIOFIN.NS,A_breakout_40d,357.0,332.01,New,,,2026-03-29
2024-09-27,M&M.NS,A_breakout_40d,3163.1499,2941.7294,Closed,,2026-03-29,2026-03-29
2024-09-27,MARUTI.NS,A_breakout_40d,13343.5498,12409.5013,Closed,,2026-03-29,2026-03-29
2024-09-27,NTPC.NS,A_breakout_40d,436.9,406.317,New,,,2026-03-29
2024-09-27,PIDILITIND.NS,A_breakout_40d,1692.0,1573.56,New,,,2026-03-29
2024-09-27,RELIANCE.NS,A_breakout_40d,1519.4,1413.042,New,,,2026-03-29
2024-09-27,SIEMENS.NS,A_breakout_40d,4281.8677,3982.1369,Closed,,2026-03-29,2026-03-29
2024-09-27,SUNPHARMA.NS,A_breakout_40d,1949.0,1812.57,New,,,2026-03-29
2024-09-27,TATAPOWER.NS,A_breakout_40d,485.4,451.422,New,,,2026-03-29
2024-09-27,TATASTEEL.NS,A_breakout_40d,167.5,155.775,Closed,,2026-03-29,2026-03-29
2024-09-27,TVSMOTOR.NS,A_breakout_40d,2947.3999,2741.0819,Closed,,2026-03-29,2026-03-29
2024-09-30,BPCL.NS,A_breakout_40d,370.0,344.1,New,,,2026-03-29
2024-09-30,JSWSTEEL.NS,A_breakout_40d,1029.0,956.97,Closed,,2026-03-29,2026-03-29
2024-09-30,TATASTEEL.NS,A_breakout_40d,169.49,157.6257,Closed,,2026-03-29,2026-03-29
2024-10-01,SIEMENS.NS,A_breakout_40d,4374.144,4067.954,Closed,,2026-03-29,2026-03-29
2024-10-03,JSWSTEEL.NS,A_breakout_40d,1042.0,969.06,Closed,,2026-03-29,2026-03-29
2024-10-08,TRENT.NS,A_breakout_40d,8089.0,7522.77,New,,,2026-03-29
2024-10-09,DIVISLAB.NS,A_breakout_40d,5960.0,5542.8,Closed,,2026-03-29,2026-03-29
2024-10-09,SIEMENS.NS,A_breakout_40d,4519.896,4203.5033,New,,,2026-03-29
2024-10-15,HCLTECH.NS,A_breakout_40d,1869.0,1738.17,Closed,,2026-03-29,2026-03-29
2024-10-16,SIEMENS.NS,A_breakout_40d,4687.9541,4359.7973,New,,,2026-03-29
2024-10-17,TECHM.NS,A_breakout_40d,1695.0,1576.35,New,,,2026-03-29
2024-10-21,SILVERBEES.NS,A_breakout_40d,94.84,88.2012,Closed,,2026-03-29,2026-03-29
2024-10-21,TECHM.NS,A_breakout_40d,1703.4,1584.162,New,,,2026-03-29
2024-10-23,TECHM.NS,A_breakout_40d,1735.05,1613.5965,New,,,2026-03-28
2024-10-29,GOLDBEES.NS,A_breakout_40d,67.0,62.31,Closed,,2026-03-28,2026-03-28
2024-10-29,SBIN.NS,A_breakout_40d,828.0,770.04,Closed,,2026-03-28,2026-03-28
2024-11-05,SBIN.NS,A_breakout_40d,849.2,789.756,Closed,,2026-03-28,2026-03-28
2024-11-06,BEL.NS,A_breakout_40d,301.0,279.93,Closed,,2026-03-28,2026-03-28
2024-11-07,APOLLOHOSP.NS,A_breakout_40d,7390.0498,6872.7463,Closed,,2026-03-28,2026-03-28
2024-11-25,HDFCBANK.NS,A_breakout_40d,905.0,841.65,Closed,,2026-03-28,2026-03-28
2024-11-25,TCS.NS,A_breakout_40d,4321.0498,4018.5763,New,,,2026-03-28
2024-11-25,WIPRO.NS,A_breakout_40d,292.5,272.025,Closed,,2026-03-28,2026-03-28
2024-11-27,BEL.NS,A_breakout_40d,308.0,286.44,Closed,,2026-03-28,2026-03-28
2024-12-03,LT.NS,A_breakout_40d,3775.0,3510.75,Closed,,2026-03-28,2026-03-28
2024-12-03,ULTRACEMCO.NS,A_breakout_40d,11866.2002,11035.5662,Closed,,2026-03-28,2026-03-28
2024-12-04,BEL.NS,A_breakout_40d,314.0,292.02,Closed,,2026-03-28,2026-03-28
2024-12-04,PIDILITIND.NS,A_breakout_40d,1610.0,1497.3,New,,,2026-03-28
2024-12-05,ETERNAL.NS,A_breakout_40d,300.0,279.0,Closed,,2026-03-28,2026-03-28
2024-12-05,ICICIBANK.NS,A_breakout_40d,1342.5,1248.525,Closed,,2026-03-28,2026-03-28
2024-12-05,MAXHEALTH.NS,A_breakout_40d,1098.55,1021.6515,Closed,,2026-03-28,2026-03-28
2024-12-05,TCS.NS,A_breakout_40d,4453.0,4141.29,New,,,2026-03-28
2024-12-06,VEDL.NS,A_breakout_40d,499.95,464.9535,Closed,,2026-03-28,2026-03-28
2024-12-11,MAXHEALTH.NS,A_breakout_40d,1132.0,1052.76,Closed,,2026-03-28,2026-03-28
2024-12-11,VEDL.NS,A_breakout_40d,519.0,482.67,Closed,,2026-03-28,2026-03-28
2024-12-12,MAXHEALTH.NS,A_breakout_40d,1172.1,1090.053,Closed,,2026-03-28,2026-03-28
2024-12-12,TECHM.NS,A_breakout_40d,1781.0,1656.33,New,,,2026-03-28
2024-12-12,VEDL.NS,A_breakout_40d,520.5,484.065,Closed,,2026-03-28,2026-03-28
2024-12-24,INDIGO.NS,A_breakout_40d,4652.9502,4327.2437,Closed,,2026-03-28,2026-03-28
2024-12-26,INDIGO.NS,A_breakout_40d,4725.0,4394.25,Closed,,2026-03-28,2026-03-28
2024-12-30,SUNPHARMA.NS,A_breakout_40d,1876.8,1745.424,New,,,2026-03-28
